Rating,Puzzles,Attempts
300,379,137388
400,23345,8775134
500,52969,21041251
600,96480,35229563
700,85599,37760650
800,171543,87097467
900,223120,142075951
1000,232629,204914834
1100,255357,338919018
1200,198226,430033304
1300,220347,592608070
1400,219921,662462982
1500,223790,651678146
1600,219993,533633191
1700,194141,403369892
1800,170827,324152572
1900,185506,340530469
2000,158657,253695471
2100,137724,166158956
2200,132888,121410425
2300,105381,72600295
2400,70352,37536341
2500,54417,24878139
2600,48517,19585737
2700,40900,18413663
2800,4341,2384887
2900,1600,975729
3000,287,209646
3100,27,23417
3200,1,382
3300,1,466
,3529265,5532293436
